,method,seed,mse,mean,std,params,time
0,pair,147,0.32293111085891724,0.48959946632385254,0.28848502039909363,20480,0.0007071495056152344
1,block-sqrt-half,147,0.3029281497001648,0.4696178436279297,0.2870319187641144,49152,0.0001823902130126953
2,block-sqrt,147,0.2960152328014374,0.4624907374382019,0.2865616977214813,65536,0.00036334991455078125
3,lowR-same-param,147,0.2958402633666992,0.46242478489875793,0.28636276721954346,65536,9.226799011230469e-05
4,lowR-samex2,147,0.2633814215660095,0.4300125539302826,0.28012615442276,65536,8.106231689453125e-05
5,lowR-half,147,0.035401009023189545,0.15018808841705322,0.11333384364843369,1048576,9.107589721679688e-05
6,pair-Add,147,0.23791185021400452,0.4043717384338379,0.2727552056312561,204800,0.041147708892822266
7,pair-Seq,147,0.2381519079208374,0.40470144152641296,0.2727063000202179,204800,0.023249149322509766
8,pair,258,0.32316887378692627,0.48972034454345703,0.28869178891181946,20480,0.0005922317504882812
9,block-sqrt-half,258,0.3031718134880066,0.4697210192680359,0.2872874140739441,49152,0.0001785755157470703
10,block-sqrt,258,0.29629454016685486,0.4626864194869995,0.28673306107521057,65536,0.00036334991455078125
11,lowR-same-param,258,0.2959401607513428,0.4624688923358917,0.28646597266197205,65536,5.340576171875e-05
12,lowR-samex2,258,0.26334458589553833,0.429892361164093,0.280244916677475,65536,4.887580871582031e-05
13,lowR-half,258,0.035411909222602844,0.1501433253288269,0.11344121396541595,1048576,5.316734313964844e-05
14,pair-Add,258,0.2380681186914444,0.40461307764053345,0.2726837992668152,204800,0.041161298751831055
15,pair-Seq,258,0.23808415234088898,0.404579758644104,0.27276259660720825,204800,0.023346424102783203
16,pair,369,0.3235336244106293,0.4902230501174927,0.28847020864486694,20480,0.0006129741668701172
17,block-sqrt-half,369,0.30343466997146606,0.4700448513031006,0.2872152626514435,49152,0.00018024444580078125
18,block-sqrt,369,0.2966495752334595,0.4634053111076355,0.2861907482147217,65536,0.00036334991455078125
19,lowR-same-param,369,0.29617905616760254,0.4627726674079895,0.28639236092567444,65536,5.316734313964844e-05
20,lowR-samex2,369,0.26352745294570923,0.43012213706970215,0.28021860122680664,65536,5.173683166503906e-05
21,lowR-half,369,0.03543490916490555,0.15027618408203125,0.11336659640073776,1048576,5.245208740234375e-05
22,pair-Add,369,0.23832756280899048,0.4047439992427826,0.27296507358551025,204800,0.04113197326660156
23,pair-Seq,369,0.2384190410375595,0.4049486219882965,0.2728290855884552,204800,0.023129940032958984
24,pair,321,0.3239485025405884,0.49061235785484314,0.2885274589061737,20480,0.0006296634674072266
25,block-sqrt-half,321,0.30388906598091125,0.4703909456729889,0.2874395251274109,49152,0.00018143653869628906
26,block-sqrt,321,0.2969328761100769,0.46342402696609497,0.286655068397522,65536,0.00036334991455078125
27,lowR-same-param,321,0.2966880202293396,0.46327370405197144,0.286470890045166,65536,7.2479248046875e-05
28,lowR-samex2,321,0.2642018795013428,0.4307694435119629,0.28042760491371155,65536,5.626678466796875e-05
