,method,seed,mse,mean,std,params,time
32,pair,654,0.17494328320026398,0.33915725350379944,0.2452561855316162,128,0.0003275871276855469
33,block-sqrt-half,654,0.17494329810142517,0.3391723036766052,0.24523529410362244,128,0.00022268295288085938
34,block-sqrt,654,0.12687423825263977,0.28179752826690674,0.21829001605510712,128,0.00011229515075683594
35,lowR-same-param,654,0.11990918219089508,0.26984527707099915,0.2174336314201355,128,5.269050598144531e-05
36,lowR-samex2,654,0.03145257383584976,0.14217272400856018,0.10622414201498032,128,4.6253204345703125e-05
37,lowR-half,654,0.03145257383584976,0.14217272400856018,0.10622414201498032,256,4.7206878662109375e-05
38,pair-Add,654,6.641013960972941e-09,5.97467296756804e-05,5.55282567802351e-05,512,0.0011241436004638672
39,pair-Seq,654,7.077296322677284e-05,0.00577965285629034,0.006124958861619234,512,0.0011491775512695312
40,pair,987,0.15628328919410706,0.3147521913051605,0.23966370522975922,128,0.0002675056457519531
41,block-sqrt-half,987,0.15628327429294586,0.31475090980529785,0.23966547846794128,128,0.00022530555725097656
42,block-sqrt,987,0.12311729788780212,0.2798599600791931,0.21206451952457428,128,0.00011110305786132812
43,lowR-same-param,987,0.11628808081150055,0.27630138397216797,0.20025554299354553,128,5.173683166503906e-05
44,lowR-samex2,987,0.03161643072962761,0.13819248974323273,0.11210869997739792,128,4.458427429199219e-05
45,lowR-half,987,0.03161643072962761,0.13819248974323273,0.11210869997739792,256,4.5299530029296875e-05
46,pair-Add,987,2.1975702679810638e-07,0.0002995363320223987,0.00036131005617789924,512,0.001125335693359375
47,pair-Seq,987,4.327850183472037e-05,0.00495346961542964,0.004337641876190901,512,0.0010900497436523438
48,pair,741,0.16033053398132324,0.316650927066803,0.24555703997612,128,0.0002598762512207031
49,block-sqrt-half,741,0.16033051908016205,0.3166489005088806,0.24555963277816772,128,0.00021696090698242188
50,block-sqrt,741,0.13206419348716736,0.28202271461486816,0.22963747382164001,128,0.00011467933654785156
51,lowR-same-param,741,0.12055904418230057,0.2733847200870514,0.21447500586509705,128,5.316734313964844e-05
52,lowR-samex2,741,0.030464760959148407,0.13731253147125244,0.10796091705560684,128,4.6253204345703125e-05
53,lowR-half,741,0.030464760959148407,0.13731253147125244,0.10796091705560684,256,4.553794860839844e-05
54,pair-Add,741,4.0198550266268285e-08,0.00014094047946855426,0.00014287781959865242,512,0.0011305809020996094
55,pair-Seq,741,0.00149664212949574,0.023875810205936432,0.0304995346814394,512,0.0010936260223388672
56,pair,852,0.16728755831718445,0.31970521807670593,0.2555999457836151,128,0.0002624988555908203
57,block-sqrt-half,852,0.16728739440441132,0.3197177052497864,0.25558391213417053,128,0.0002143383026123047
58,block-sqrt,852,0.1194063350558281,0.2700885832309723,0.21596451103687286,128,0.00011038780212402344
59,lowR-same-param,852,0.11884783208370209,0.27499985694885254,0.20830845832824707,128,5.5789947509765625e-05
60,lowR-samex2,852,0.03788206726312637,0.15618379414081573,0.11636832356452942,128,5.507469177246094e-05
61,lowR-half,852,0.03788206726312637,0.15618379414081573,0.11636832356452942,256,5.412101745605469e-05
62,pair-Add,852,8.473880086512509e-08,0.00020698155276477337,0.00020508960005827248,512,0.001169443130493164
63,pair-Seq,852,0.001165781868621707,0.02596220001578331,0.02221878618001938,512,0.00109100341796875
64,pair,963,0.17360079288482666,0.3380032777786255,0.24410519003868103,128,0.0002665519714355469
65,block-sqrt-half,963,0.17360082268714905,0.3380007743835449,0.24410869181156158,128,0.0002238750457763672
66,block-sqrt,963,0.14554819464683533,0.30226433277130127,0.2332315742969513,128,0.0001227855682373047
67,lowR-same-param,963,0.1321364939212799,0.2897976040840149,0.2198696732521057,128,5.316734313964844e-05
68,lowR-samex2,963,0.03456825762987137,0.14183413982391357,0.12044920027256012,128,4.935264587402344e-05
69,lowR-half,963,0.03456825762987137,0.14183413982391357,0.12044920027256012,256,4.57763671875e-05
70,pair-Add,963,1.9746595469882777e-08,0.00010185683640884236,9.699758811620995e-05,512,0.0011632442474365234
71,pair-Seq,963,0.0013394468696787953,0.026714541018009186,0.025064600631594658,512,0.0011060237884521484
72,pair,159,0.17287078499794006,0.32695144414901733,0.25735628604888916,128,0.0002713203430175781
73,block-sqrt-half,159,0.17287085950374603,0.32695090770721436,0.257357120513916,128,0.0002353191375732422
74,block-sqrt,159,0.13488972187042236,0.2888178527355194,0.22732317447662354,128,0.00011706352233886719
75,lowR-same-param,159,0.1156633198261261,0.2693300247192383,0.2080715298652649,128,5.698204040527344e-05
76,lowR-samex2,159,0.03192215412855148,0.13834050297737122,0.11328810453414917,128,5.125999450683594e-05
77,lowR-half,159,0.03192215412855148,0.13834050297737122,0.11328810453414917,256,5.364418029785156e-05
78,pair-Add,159,1.2831961271331238e-07,0.00023287083604373038,0.00027272943407297134,512,0.001226186752319336
79,pair-Seq,159,0.0002878023369703442,0.01160129439085722,0.012402142398059368,512,0.001146554946899414
80,pair,357,0.17557433247566223,0.3274165391921997,0.26199403405189514,128,0.0002644062042236328
81,block-sqrt-half,357,0.17557433247566223,0.32741686701774597,0.2619936168193817,128,0.00023651123046875
82,block-sqrt,357,0.155048206448555,0.3085283637046814,0.24513912200927734,128,0.00011801719665527344
83,lowR-same-param,357,0.13357824087142944,0.2850922644138336,0.22914130985736847,128,5.817413330078125e-05
84,lowR-samex2,357,0.039889685809612274,0.15059921145439148,0.13144221901893616,128,5.841255187988281e-05
85,lowR-half,357,0.039889685809612274,0.15059921145439148,0.13144221901893616,256,4.792213439941406e-05
86,pair-Add,357,2.596978276869777e-07,0.00030230480479076505,0.00041105918353423476,512,0.0011436939239501953
87,pair-Seq,357,0.0013363366015255451,0.02820904552936554,0.0232960544526577,512,0.0011785030364990234
88,pair,951,0.1768488883972168,0.3234806954860687,0.2692439556121826,128,0.0002627372741699219
89,block-sqrt-half,951,0.17684873938560486,0.32348525524139404,0.269238144159317,128,0.00022602081298828125
90,block-sqrt,951,0.14512699842453003,0.295141339302063,0.24134233593940735,128,0.0001246929168701172
