,method,seed,mse,mean,std,params,time
0,pair,147,0.33000168204307556,0.4966559410095215,0.28867730498313904,98304,0.020543813705444336
1,block-sqrt-half,147,0.317402720451355,0.4840379059314728,0.28828808665275574,393216,0.00017786026000976562
2,block-sqrt,147,0.3139037489891052,0.48050999641418457,0.2881213426589966,524288,0.004940986633300781
3,lowR-same-param,147,0.3138284981250763,0.48047858476638794,0.28804314136505127,524288,7.343292236328125e-05
4,lowR-samex2,147,0.2959110736846924,0.462559312582016,0.28626900911331177,524288,7.05718994140625e-05
5,lowR-half,147,0.035408686846494675,0.15021799504756927,0.11332802474498749,16777216,0.0033731460571289062
6,pair,258,0.3300289511680603,0.4966963827610016,0.28865498304367065,98304,0.02057933807373047
7,block-sqrt-half,258,0.3173961639404297,0.48403996229171753,0.28827330470085144,393216,0.0001804828643798828
8,block-sqrt,258,0.3139265775680542,0.4805700182914734,0.28806087374687195,524288,0.0049211978912353516
9,lowR-same-param,258,0.3138734698295593,0.4805455803871155,0.2880094349384308,524288,7.009506225585938e-05
10,lowR-samex2,258,0.29597270488739014,0.46263980865478516,0.28624656796455383,524288,7.295608520507812e-05
11,lowR-half,258,0.035462409257888794,0.1503293514251709,0.11341734230518341,16777216,7.700920104980469e-05
12,pair,369,0.3299413025379181,0.4966028332710266,0.2886640727519989,98304,0.02053999900817871
13,block-sqrt-half,369,0.3173249363899231,0.483993262052536,0.2882281541824341,393216,0.0001742839813232422
14,block-sqrt,369,0.3138216733932495,0.4804483652114868,0.28808167576789856,524288,0.004935264587402344
15,lowR-same-param,369,0.3137809932231903,0.480457603931427,0.2879956364631653,524288,7.05718994140625e-05
16,lowR-samex2,369,0.2958715558052063,0.4625358581542969,0.2862379252910614,524288,0.00010776519775390625
17,lowR-half,369,0.03539811819791794,0.15019184350967407,0.11331606656312943,16777216,7.05718994140625e-05
18,pair,321,0.3300367593765259,0.4967195689678192,0.2886285185813904,98304,0.02057504653930664
19,block-sqrt-half,321,0.3174138367176056,0.4840857684612274,0.28822699189186096,393216,0.00018072128295898438
20,block-sqrt,321,0.31393492221832275,0.4805748462677002,0.2880672812461853,524288,0.0049250125885009766
21,lowR-same-param,321,0.3138638138771057,0.4805339276790619,0.2880120873451233,524288,7.152557373046875e-05
22,lowR-samex2,321,0.29595884680747986,0.462614506483078,0.2862633168697357,524288,7.319450378417969e-05
23,lowR-half,321,0.03544725477695465,0.15030065178871155,0.11338857561349869,16777216,7.271766662597656e-05
24,pair,654,0.33004575967788696,0.49670928716659546,0.2886618375778198,98304,0.02053689956665039
25,block-sqrt-half,654,0.3174397945404053,0.48409056663513184,0.2882639467716217,393216,0.0001785755157470703
26,block-sqrt,654,0.3139640986919403,0.48060888051986694,0.28806114196777344,524288,0.004937171936035156
27,lowR-same-param,654,0.3138735890388489,0.4805467426776886,0.2880077064037323,524288,7.033348083496094e-05
28,lowR-samex2,654,0.2959592342376709,0.46260493993759155,0.28627949953079224,524288,7.05718994140625e-05
29,lowR-half,654,0.035391245037317276,0.15019463002681732,0.11328201740980148,16777216,7.104873657226562e-05
30,pair,987,0.32996976375579834,0.49660399556159973,0.288711279630661,98304,0.02056598663330078
31,block-sqrt-half,987,0.3173544108867645,0.4840000867843628,0.2882678508758545,393216,0.00018286705017089844
32,block-sqrt,987,0.31386637687683105,0.4804818332195282,0.2881034016609192,524288,0.004930734634399414
33,lowR-same-param,987,0.3138115108013153,0.4804424047470093,0.2880740165710449,524288,7.2479248046875e-05
34,lowR-samex2,987,0.295900821685791,0.46252405643463135,0.2863081395626068,524288,7.104873657226562e-05
35,lowR-half,987,0.035419657826423645,0.15022265911102295,0.11337023973464966,16777216,7.104873657226562e-05
36,pair,741,0.33003613352775574,0.49667811393737793,0.28869879245758057,98304,0.020536422729492188
