,method,seed,mse,mean,std,params,time
88,pair,951,0.30417102575302124,0.4698895812034607,0.2887491285800934,4096,0.0005078315734863281
89,block-sqrt-half,951,0.2781853675842285,0.44453689455986023,0.28385478258132935,6144,0.00017213821411132812
90,block-sqrt,951,0.26484572887420654,0.43090641498565674,0.28136560320854187,8192,0.00011587142944335938
91,lowR-same-param,951,0.2624494433403015,0.4286782145500183,0.2805096507072449,8192,8.130073547363281e-05
92,lowR-samex2,951,0.20679400861263275,0.3731316924095154,0.2599380612373352,8192,6.031990051269531e-05
93,lowR-half,951,0.035121213644742966,0.14954456686973572,0.11295054107904434,65536,6.461143493652344e-05
94,pair-Add,951,0.1361222267150879,0.2939772307872772,0.22293579578399658,32768,0.016011953353881836
95,pair-Seq,951,0.14059869945049286,0.30173254013061523,0.2226138561964035,32768,0.0046215057373046875
96,pair,753,0.30273282527923584,0.4694046378135681,0.2870424687862396,4096,0.0005099773406982422
97,block-sqrt-half,753,0.2768416404724121,0.44324779510498047,0.28350353240966797,6144,0.00017309188842773438
98,block-sqrt,753,0.26339465379714966,0.42981553077697754,0.28045397996902466,8192,0.00012230873107910156
99,lowR-same-param,753,0.2616580128669739,0.42865189909935,0.27913570404052734,8192,6.29425048828125e-05
100,lowR-samex2,753,0.2062249481678009,0.37246227264404297,0.2598034739494324,8192,5.030632019042969e-05
101,lowR-half,753,0.03499820828437805,0.149228036403656,0.11282462626695633,65536,5.936622619628906e-05
102,pair-Add,753,0.13490937650203705,0.291823148727417,0.2230457067489624,32768,0.004418373107910156
103,pair-Seq,753,0.14030298590660095,0.3010549545288086,0.22286690771579742,32768,0.004172801971435547
