,method,seed,mse,mean,std,params,time
0,pair,147,0.30487060546875,0.47161978483200073,0.28713521361351013,4096,0.0005140304565429688
1,block-sqrt-half,147,0.27874624729156494,0.4450104534626007,0.28410065174102783,6144,0.00017309188842773438
2,block-sqrt,147,0.26565074920654297,0.4317459464073181,0.28150907158851624,8192,0.0001239776611328125
3,lowR-same-param,147,0.2636633515357971,0.4302959442138672,0.28019630908966064,8192,8.96453857421875e-05
4,lowR-samex2,147,0.2081719934940338,0.3743427097797394,0.2608458995819092,8192,6.937980651855469e-05
5,lowR-half,147,0.035399872809648514,0.15024566650390625,0.11325329542160034,65536,6.079673767089844e-05
6,pair-Add,147,0.13725006580352783,0.29464197158813477,0.224581778049469,32768,0.004199028015136719
7,pair-Seq,147,0.13998574018478394,0.3001757264137268,0.22334060072898865,32768,0.0043447017669677734
8,pair,258,0.3050459027290344,0.4714699983596802,0.28768593072891235,4096,0.0005211830139160156
9,block-sqrt-half,258,0.27904099225997925,0.4452597498893738,0.28422871232032776,6144,0.00018215179443359375
10,block-sqrt,258,0.26554274559020996,0.4313308894634247,0.28195318579673767,8192,0.00011467933654785156
11,lowR-same-param,258,0.26419419050216675,0.43060019612312317,0.2806757092475891,8192,5.9604644775390625e-05
12,lowR-samex2,258,0.20838098227977753,0.37401947379112244,0.26170873641967773,8192,6.175041198730469e-05
13,lowR-half,258,0.0356944277882576,0.15076996386051178,0.11385537683963776,65536,6.222724914550781e-05
14,pair-Add,258,0.13609173893928528,0.2939377427101135,0.2229194939136505,32768,0.004253864288330078
15,pair-Seq,258,0.14122094213962555,0.3018648624420166,0.2238287627696991,32768,0.004266262054443359
16,pair,369,0.3036351799964905,0.4702855944633484,0.2871722877025604,4096,0.0005068778991699219
17,block-sqrt-half,369,0.2776009142398834,0.44481945037841797,0.28237882256507874,6144,0.00017762184143066406
18,block-sqrt,369,0.2642405927181244,0.43015608191490173,0.2814383804798126,8192,0.00011801719665527344
19,lowR-same-param,369,0.2619469165802002,0.428703248500824,0.27957409620285034,8192,5.459785461425781e-05
20,lowR-samex2,369,0.2069854438304901,0.37300318479537964,0.2604901194572449,8192,5.4836273193359375e-05
21,lowR-half,369,0.0353427529335022,0.1496569812297821,0.11377935856580734,65536,6.0558319091796875e-05
22,pair-Add,369,0.1364542841911316,0.29434192180633545,0.22319923341274261,32768,0.004172325134277344
23,pair-Seq,369,0.1408943235874176,0.30149900913238525,0.2235921174287796,32768,0.004176616668701172
24,pair,321,0.30574461817741394,0.4721739888191223,0.2877456843852997,4096,0.0005011558532714844
25,block-sqrt-half,321,0.27963194251060486,0.4457882046699524,0.2844398617744446,6144,0.0001761913299560547
26,block-sqrt,321,0.2652174234390259,0.4310610592365265,0.2817888855934143,8192,0.00012087821960449219
27,lowR-same-param,321,0.26382336020469666,0.4305872619152069,0.28003424406051636,8192,6.961822509765625e-05
28,lowR-samex2,321,0.20846761763095856,0.37454742193222046,0.26111850142478943,8192,6.246566772460938e-05
29,lowR-half,321,0.03603275865316391,0.15156641602516174,0.11428289115428925,65536,5.9604644775390625e-05
30,pair-Add,321,0.13633792102336884,0.2940484583377838,0.22332526743412018,32768,0.0043222904205322266
31,pair-Seq,321,0.1427602469921112,0.30369019508361816,0.2247961163520813,32768,0.004230499267578125
32,pair,654,0.3043088912963867,0.4702375531196594,0.2884211540222168,4096,0.0005199909210205078
33,block-sqrt-half,654,0.27787089347839355,0.44409114122390747,0.2839984893798828,6144,0.00017762184143066406
34,block-sqrt,654,0.2645835876464844,0.4305201470851898,0.2814910411834717,8192,0.00011420249938964844
35,lowR-same-param,654,0.26368147134780884,0.43010076880455017,0.2805280387401581,8192,6.4849853515625e-05
36,lowR-samex2,654,0.2084832787513733,0.37496912479400635,0.260542631149292,8192,6.723403930664062e-05
37,lowR-half,654,0.03569450229406357,0.150574192404747,0.11411447077989578,65536,6.365776062011719e-05
38,pair-Add,654,0.1370730698108673,0.29442012310028076,0.2244785577058792,32768,0.004178285598754883
39,pair-Seq,654,0.14189982414245605,0.30268993973731995,0.22423064708709717,32768,0.004090547561645508
40,pair,987,0.30429577827453613,0.4708380699157715,0.2874170243740082,4096,0.0005965232849121094
41,block-sqrt-half,987,0.27815887331962585,0.444374680519104,0.284061998128891,6144,0.0001780986785888672
42,block-sqrt,987,0.26495862007141113,0.4307066798210144,0.2818715572357178,8192,0.00012183189392089844
43,lowR-same-param,987,0.2629079222679138,0.4297013282775879,0.279760479927063,8192,6.985664367675781e-05
44,lowR-samex2,987,0.20784565806388855,0.3736962378025055,0.261147141456604,8192,4.982948303222656e-05
45,lowR-half,987,0.035771019756793976,0.15065370500087738,0.11434455960988998,65536,5.6743621826171875e-05
46,pair-Add,987,0.13652411103248596,0.2943747341632843,0.22331228852272034,32768,0.0042989253997802734
47,pair-Seq,987,0.1409996747970581,0.30164310336112976,0.22363334894180298,32768,0.004354000091552734
48,pair,741,0.3036805987358093,0.4701254963874817,0.28751325607299805,4096,0.0005571842193603516
49,block-sqrt-half,741,0.27666786313056946,0.44329893589019775,0.28311681747436523,6144,0.0001785755157470703
50,block-sqrt,741,0.2635769248008728,0.42913728952407837,0.2818143665790558,8192,0.00011658668518066406
51,lowR-same-param,741,0.2634352147579193,0.4304840564727783,0.279499351978302,8192,6.031990051269531e-05
52,lowR-samex2,741,0.20837737619876862,0.3754129707813263,0.25969886779785156,8192,6.0558319091796875e-05
53,lowR-half,741,0.03569292277097702,0.15034598112106323,0.11440808326005936,65536,6.29425048828125e-05
54,pair-Add,741,0.13672859966754913,0.2940872311592102,0.22414742410182953,32768,0.00415492057800293
55,pair-Seq,741,0.14027096331119537,0.3012514114379883,0.222529336810112,32768,0.004247426986694336
56,pair,852,0.3046942353248596,0.4706116020679474,0.28847911953926086,4096,0.0004963874816894531
57,block-sqrt-half,852,0.27913618087768555,0.44535839557647705,0.284241646528244,6144,0.00017690658569335938
58,block-sqrt,852,0.26535695791244507,0.43127354979515076,0.2817113995552063,8192,0.0001304149627685547
59,lowR-same-param,852,0.26333609223365784,0.42980659008026123,0.2803633213043213,8192,6.961822509765625e-05
60,lowR-samex2,852,0.2080903947353363,0.37463176250457764,0.260273814201355,8192,6.628036499023438e-05
61,lowR-half,852,0.03484099358320236,0.14906251430511475,0.11234568059444427,65536,6.389617919921875e-05
62,pair-Add,852,0.13688600063323975,0.29449719190597534,0.22396020591259003,32768,0.004428863525390625
63,pair-Seq,852,0.14187586307525635,0.3026600480079651,0.22421762347221375,32768,0.004363059997558594
64,pair,963,0.30419743061065674,0.47081777453422546,0.2872791588306427,4096,0.0005040168762207031
65,block-sqrt-half,963,0.2777988910675049,0.44412779808044434,0.28381437063217163,6144,0.0001811981201171875
66,block-sqrt,963,0.26356419920921326,0.4290940761566162,0.28185752034187317,8192,0.00011491775512695312
67,lowR-same-param,963,0.2638137638568878,0.43004411458969116,0.2808505594730377,8192,5.817413330078125e-05
68,lowR-samex2,963,0.20841136574745178,0.37402257323265076,0.2617623507976532,8192,6.413459777832031e-05
69,lowR-half,963,0.035061948001384735,0.1493312120437622,0.1129705086350441,65536,6.29425048828125e-05
70,pair-Add,963,0.1360367387533188,0.2931375205516815,0.22384792566299438,32768,0.004395961761474609
71,pair-Seq,963,0.1412440836429596,0.3026226758956909,0.22285500168800354,32768,0.004106283187866211
72,pair,159,0.30614808201789856,0.4730364680290222,0.28702932596206665,4096,0.0004987716674804688
73,block-sqrt-half,159,0.27938154339790344,0.44566136598587036,0.2841984033584595,6144,0.0001766681671142578
74,block-sqrt,159,0.26619210839271545,0.43222320079803467,0.28173819184303284,8192,0.00011539459228515625
75,lowR-same-param,159,0.26364457607269287,0.4303249716758728,0.2801181972026825,8192,7.581710815429688e-05
76,lowR-samex2,159,0.20798982679843903,0.3739173412322998,0.2611066401004791,8192,5.984306335449219e-05
77,lowR-half,159,0.035138241946697235,0.14936035871505737,0.11326923966407776,65536,4.76837158203125e-05
78,pair-Add,159,0.13698740303516388,0.29446402192115784,0.2242300808429718,32768,0.004531383514404297
79,pair-Seq,159,0.14074166119098663,0.30145809054374695,0.22330568730831146,32768,0.004137277603149414
80,pair,357,0.305189311504364,0.47138363122940063,0.2880764901638031,4096,0.0005240440368652344
81,block-sqrt-half,357,0.2787177562713623,0.44482237100601196,0.2843449115753174,6144,0.000171661376953125
82,block-sqrt,357,0.26473528146743774,0.4305800795555115,0.2816687822341919,8192,0.00012254714965820312
83,lowR-same-param,357,0.263746976852417,0.4308542013168335,0.27948668599128723,8192,6.127357482910156e-05
84,lowR-samex2,357,0.20867151021957397,0.37511807680130005,0.2606894373893738,8192,6.413459777832031e-05
85,lowR-half,357,0.0351911336183548,0.14964596927165985,0.11312565952539444,65536,6.0558319091796875e-05
86,pair-Add,357,0.13648657500743866,0.29311370849609375,0.22488157451152802,32768,0.004271030426025391
87,pair-Seq,357,0.14076204597949982,0.3015357255935669,0.22324657440185547,32768,0.0043833255767822266
