,method,seed,mse,mean,std,params,time
0,pair,147,0.26484787464141846,0.4286370575428009,0.28484728932380676,768,0.00038814544677734375
1,block-sqrt-half,147,0.2438550591468811,0.4063952565193176,0.2805657982826233,768,0.0001747608184814453
2,block-sqrt,147,0.21497973799705505,0.37618228793144226,0.2710803747177124,1024,0.00011730194091796875
3,lowR-same-param,147,0.2113417088985443,0.3768771290779114,0.26329126954078674,1024,5.626678466796875e-05
4,lowR-samex2,147,0.12578904628753662,0.28268271684646606,0.21422117948532104,1024,5.0067901611328125e-05
5,lowR-half,147,0.033756524324417114,0.1452159583568573,0.11256973445415497,4096,5.221366882324219e-05
6,pair-Add,147,0.02322765439748764,0.10965824127197266,0.10585583746433258,4608,0.002607583999633789
7,pair-Seq,147,0.039117634296417236,0.15317492187023163,0.12513552606105804,4608,0.002432584762573242
8,pair,258,0.2597932815551758,0.425964891910553,0.2799398601055145,768,0.0003883838653564453
9,block-sqrt-half,258,0.2392214685678482,0.4052462577819824,0.27388909459114075,768,0.00017642974853515625
10,block-sqrt,258,0.2115415334701538,0.37606632709503174,0.2648259103298187,1024,0.00012373924255371094
11,lowR-same-param,258,0.20664526522159576,0.37388309836387634,0.2585982084274292,1024,5.4836273193359375e-05
12,lowR-samex2,258,0.12330681830644608,0.2816154658794403,0.2097862958908081,1024,4.76837158203125e-05
13,lowR-half,258,0.03472359851002693,0.14928768575191498,0.11153394728899002,4096,4.792213439941406e-05
14,pair-Add,258,0.020817235112190247,0.10481531172990799,0.09916342794895172,4608,0.002384185791015625
15,pair-Seq,258,0.034137748181819916,0.1426803469657898,0.11740285158157349,4608,0.002450227737426758
16,pair,369,0.2614787817001343,0.42735055088996887,0.28083717823028564,768,0.0003807544708251953
17,block-sqrt-half,369,0.24445556104183197,0.4099976420402527,0.27636227011680603,768,0.00018024444580078125
18,block-sqrt,369,0.21376368403434753,0.3784444034099579,0.2656327188014984,1024,0.00011277198791503906
19,lowR-same-param,369,0.21091139316558838,0.37767744064331055,0.2613193690776825,1024,5.555152893066406e-05
20,lowR-samex2,369,0.13018950819969177,0.290391743183136,0.2141806185245514,1024,4.887580871582031e-05
21,lowR-half,369,0.037114717066287994,0.15212911367416382,0.11821532994508743,4096,4.982948303222656e-05
22,pair-Add,369,0.022599313408136368,0.10982928425073624,0.10266166180372238,4608,0.0024051666259765625
23,pair-Seq,369,0.03984388709068298,0.15662282705307007,0.12376154214143753,4608,0.002476215362548828
24,pair,321,0.26234862208366394,0.42706233263015747,0.2828178405761719,768,0.00039386749267578125
25,block-sqrt-half,321,0.24107789993286133,0.40581679344177246,0.27642226219177246,768,0.00017333030700683594
26,block-sqrt,321,0.21304740011692047,0.37466946244239807,0.2696070075035095,1024,0.00011205673217773438
27,lowR-same-param,321,0.20513328909873962,0.37211623787879944,0.25822290778160095,1024,4.9591064453125e-05
28,lowR-samex2,321,0.1219334527850151,0.279032826423645,0.2099640667438507,1024,4.57763671875e-05
29,lowR-half,321,0.03225184977054596,0.1427881419658661,0.1089325100183487,4096,4.482269287109375e-05
30,pair-Add,321,0.020928803831338882,0.10634318739175797,0.09809321165084839,4608,0.0026328563690185547
31,pair-Seq,321,0.03713887929916382,0.15020258724689484,0.12075438350439072,4608,0.002449512481689453
32,pair,654,0.2626786530017853,0.426841139793396,0.28373393416404724,768,0.0003864765167236328
33,block-sqrt-half,654,0.2393989861011505,0.4032890796661377,0.27708420157432556,768,0.0001766681671142578
34,block-sqrt,654,0.2122112214565277,0.3744570314884186,0.26834815740585327,1024,0.00011730194091796875
