,method,seed,mse,mean,std,params,time
35,lowR-same-param,654,0.21015715599060059,0.37642139196395874,0.2616884112358093,1024,6.0558319091796875e-05
36,lowR-samex2,654,0.1263996958732605,0.28484776616096497,0.2127733677625656,1024,5.53131103515625e-05
37,lowR-half,654,0.03513750061392784,0.1493699848651886,0.113266222178936,4096,4.38690185546875e-05
38,pair-Add,654,0.021461602300405502,0.10572090744972229,0.10142584145069122,4608,0.002493619918823242
39,pair-Seq,654,0.038610249757766724,0.1542106568813324,0.1217905804514885,4608,0.002374410629272461
40,pair,987,0.2604101896286011,0.4270278513431549,0.2794216573238373,768,0.0003826618194580078
41,block-sqrt-half,987,0.2397494614124298,0.4040289521217346,0.2766382694244385,768,0.00017404556274414062
42,block-sqrt,987,0.21254058182239532,0.37465980648994446,0.2686786651611328,1024,0.00011563301086425781
43,lowR-same-param,987,0.20652727782726288,0.3723379373550415,0.2605922222137451,1024,5.364418029785156e-05
44,lowR-samex2,987,0.12660391628742218,0.2868257164955139,0.2105843424797058,1024,5.14984130859375e-05
45,lowR-half,987,0.03517569601535797,0.14939278364181519,0.11340473592281342,4096,4.172325134277344e-05
46,pair-Add,987,0.02130928263068199,0.10691893100738525,0.09939836710691452,4608,0.0024607181549072266
47,pair-Seq,987,0.03858552128076553,0.15413887798786163,0.1217799261212349,4608,0.002401590347290039
48,pair,741,0.25506430864334106,0.4224587678909302,0.27678796648979187,768,0.0004267692565917969
49,block-sqrt-half,741,0.23664721846580505,0.402681440114975,0.2729708254337311,768,0.00016951560974121094
50,block-sqrt,741,0.20882079005241394,0.37076079845428467,0.2671603560447693,1024,0.00012111663818359375
51,lowR-same-param,741,0.20404118299484253,0.36953991651535034,0.2598036527633667,1024,5.173683166503906e-05
52,lowR-samex2,741,0.12452872097492218,0.2831454873085022,0.21063755452632904,1024,4.506111145019531e-05
53,lowR-half,741,0.035569220781326294,0.15041404962539673,0.11378926038742065,4096,4.458427429199219e-05
54,pair-Add,741,0.020804643630981445,0.1062985435128212,0.09750685095787048,4608,0.0024900436401367188
55,pair-Seq,741,0.03895636647939682,0.15354102849960327,0.12403738498687744,4608,0.0024640560150146484
56,pair,852,0.26345011591911316,0.4277114272117615,0.28378286957740784,768,0.0003833770751953125
57,block-sqrt-half,852,0.24246245622634888,0.4070688784122467,0.2770850360393524,768,0.000171661376953125
58,block-sqrt,852,0.21378591656684875,0.37677493691444397,0.26803746819496155,1024,0.00012230873107910156
59,lowR-same-param,852,0.21305535733699799,0.3791055381298065,0.2633463144302368,1024,5.698204040527344e-05
60,lowR-samex2,852,0.13034233450889587,0.2899189889431,0.2151757925748825,1024,5.1975250244140625e-05
61,lowR-half,852,0.035409338772296906,0.1496567577123642,0.11408493667840958,4096,5.1975250244140625e-05
62,pair-Add,852,0.023024290800094604,0.11018835008144379,0.10433349013328552,4608,0.0024557113647460938
63,pair-Seq,852,0.035944677889347076,0.14961078763008118,0.1164671927690506,4608,0.002476215362548828
64,pair,963,0.25958722829818726,0.42469727993011475,0.2814938426017761,768,0.0004143714904785156
65,block-sqrt-half,963,0.24134109914302826,0.4069756269454956,0.27519160509109497,768,0.00016880035400390625
66,block-sqrt,963,0.2147441804409027,0.3814660906791687,0.263143926858902,1024,0.00012254714965820312
67,lowR-same-param,963,0.2093767523765564,0.3766610026359558,0.2598456144332886,1024,5.459785461425781e-05
68,lowR-samex2,963,0.12933778762817383,0.2884989082813263,0.21474966406822205,1024,5.269050598144531e-05
69,lowR-half,963,0.03822195529937744,0.15516166388988495,0.11895488947629929,4096,5.0067901611328125e-05
70,pair-Add,963,0.020357612520456314,0.1052977591753006,0.09629257023334503,4608,0.002500295639038086
71,pair-Seq,963,0.03823906555771828,0.15037280321121216,0.12502361834049225,4608,0.0024094581604003906
72,pair,159,0.2515326738357544,0.4164625108242035,0.27948299050331116,768,0.00038170814514160156
73,block-sqrt-half,159,0.2312147319316864,0.3947601914405823,0.2745860815048218,768,0.00019884109497070312
74,block-sqrt,159,0.20416513085365295,0.3662843108177185,0.2646091878414154,1024,0.00011444091796875
75,lowR-same-param,159,0.20464235544204712,0.3705119490623474,0.2595760226249695,1024,6.246566772460938e-05
76,lowR-samex2,159,0.12361012399196625,0.28549349308013916,0.2052166610956192,1024,5.030632019042969e-05
77,lowR-half,159,0.035122476518154144,0.14852704107761383,0.11430392414331436,4096,4.935264587402344e-05
78,pair-Add,159,0.019919555634260178,0.10284970700740814,0.09666319191455841,4608,0.0024673938751220703
79,pair-Seq,159,0.04023012891411781,0.15732106566429138,0.12443467229604721,4608,0.002499103546142578
80,pair,357,0.26428234577178955,0.42680877447128296,0.2865949273109436,768,0.0004367828369140625
81,block-sqrt-half,357,0.24322235584259033,0.40852034091949463,0.27631890773773193,768,0.00018310546875
82,block-sqrt,357,0.2150552123785019,0.378715455532074,0.2676701545715332,1024,0.00011539459228515625
83,lowR-same-param,357,0.2123684585094452,0.3771147131919861,0.26489636301994324,1024,5.650520324707031e-05
84,lowR-samex2,357,0.12960483133792877,0.28700965642929077,0.21735188364982605,1024,4.506111145019531e-05
85,lowR-half,357,0.03684457391500473,0.15308141708374023,0.11581850051879883,4096,5.221366882324219e-05
86,pair-Add,357,0.0199211947619915,0.10199378430843353,0.09757452458143234,4608,0.002481698989868164
87,pair-Seq,357,0.04062197357416153,0.15693669021129608,0.12647826969623566,4608,0.002538919448852539
88,pair,951,0.2592822015285492,0.42539042234420776,0.27990052103996277,768,0.0003924369812011719
89,block-sqrt-half,951,0.23976725339889526,0.40391308069229126,0.27683964371681213,768,0.0001780986785888672
90,block-sqrt,951,0.21108081936836243,0.3747289776802063,0.2658500671386719,1024,0.00011682510375976562
91,lowR-same-param,951,0.20671114325523376,0.37267082929611206,0.26046907901763916,1024,5.5789947509765625e-05
92,lowR-samex2,951,0.12211796641349792,0.27874553203582764,0.21078363060951233,1024,5.412101745605469e-05
93,lowR-half,951,0.034652866423130035,0.14853478968143463,0.11222012341022491,4096,5.7697296142578125e-05
94,pair-Add,951,0.020729009062051773,0.1046166941523552,0.09892798960208893,4608,0.0023870468139648438
95,pair-Seq,951,0.037081796675920486,0.1509859263896942,0.11953465640544891,4608,0.002391338348388672
96,pair,753,0.2614709138870239,0.4265732169151306,0.28200283646583557,768,0.00040030479431152344
97,block-sqrt-half,753,0.24009740352630615,0.4057801067829132,0.2746967673301697,768,0.00016832351684570312
98,block-sqrt,753,0.21104520559310913,0.3760077953338623,0.26397037506103516,1024,0.000118255615234375
99,lowR-same-param,753,0.2078740894794464,0.3742308020591736,0.26046493649482727,1024,5.602836608886719e-05
100,lowR-samex2,753,0.12731604278087616,0.2854733467102051,0.21408453583717346,1024,5.269050598144531e-05
101,lowR-half,753,0.03689998388290405,0.1527296006679535,0.1165202334523201,4096,5.173683166503906e-05
102,pair-Add,753,0.021736543625593185,0.10669508576393127,0.10176065564155579,4608,0.002445220947265625
103,pair-Seq,753,0.039338015019893646,0.15436801314353943,0.12454844266176224,4608,0.002478361129760742
