,method,seed,mse,mean,std,params,time
31,pair-Seq,321,0.1427602469921112,0.30369019508361816,0.2247961163520813,32768,0.003972768783569336
32,pair,654,0.3043088912963867,0.4702375531196594,0.2884211540222168,4096,0.0005021095275878906
33,block-sqrt-half,654,0.2955980896949768,0.4611080288887024,0.2880603075027466,6144,0.0001647472381591797
34,block-sqrt,654,0.31171998381614685,0.467622309923172,0.30504223704338074,8192,0.00011324882507324219
35,lowR-same-param,654,0.26368147134780884,0.43010076880455017,0.2805280387401581,8192,5.245208740234375e-05
36,lowR-samex2,654,0.2084832787513733,0.37496912479400635,0.260542631149292,8192,4.220008850097656e-05
37,lowR-half,654,0.03569450229406357,0.150574192404747,0.11411447077989578,65536,4.1961669921875e-05
38,pair-Add,654,0.1370730698108673,0.29442012310028076,0.2244785577058792,32768,0.004130125045776367
39,pair-Seq,654,0.14189982414245605,0.30268993973731995,0.22423064708709717,32768,0.0038504600524902344
40,pair,987,0.30429577827453613,0.4708380699157715,0.2874170243740082,4096,0.00047850608825683594
41,block-sqrt-half,987,0.2950018346309662,0.46021538972854614,0.28845253586769104,6144,0.0001742839813232422
42,block-sqrt,987,0.3123434782028198,0.46827542781829834,0.30506232380867004,8192,0.00010895729064941406
43,lowR-same-param,987,0.2629079222679138,0.4297013282775879,0.279760479927063,8192,5.14984130859375e-05
44,lowR-samex2,987,0.20784565806388855,0.3736962378025055,0.261147141456604,8192,4.172325134277344e-05
45,lowR-half,987,0.035771019756793976,0.15065370500087738,0.11434455960988998,65536,4.076957702636719e-05
46,pair-Add,987,0.13652411103248596,0.2943747341632843,0.22331228852272034,32768,0.0039255619049072266
47,pair-Seq,987,0.1409996747970581,0.30164310336112976,0.22363334894180298,32768,0.003952741622924805
48,pair,741,0.3036805987358093,0.4701254963874817,0.28751325607299805,4096,0.0004849433898925781
49,block-sqrt-half,741,0.29431670904159546,0.4599253535270691,0.2877267003059387,6144,0.0001659393310546875
50,block-sqrt,741,0.31159746646881104,0.468055784702301,0.30417540669441223,8192,0.00010800361633300781
51,lowR-same-param,741,0.2634352147579193,0.4304840564727783,0.279499351978302,8192,5.1021575927734375e-05
52,lowR-samex2,741,0.20837737619876862,0.3754129707813263,0.25969886779785156,8192,4.029273986816406e-05
53,lowR-half,741,0.03569292277097702,0.15034598112106323,0.11440808326005936,65536,4.00543212890625e-05
