,method,seed,mse,mean,std,params,time
0,pair,147,0.19584336876869202,0.3517554998397827,0.26906171441078186,128,0.0002503395080566406
1,block-sqrt-half,147,0.291359543800354,0.4165174663066864,0.34399858117103577,128,0.00021958351135253906
2,block-sqrt,147,0.1702154576778412,0.32155245542526245,0.2590009868144989,128,0.00011086463928222656
3,lowR-same-param,147,0.13630247116088867,0.29447677731513977,0.22311507165431976,128,8.034706115722656e-05
4,lowR-samex2,147,0.035821735858917236,0.14954277873039246,0.11623886227607727,128,4.38690185546875e-05
5,lowR-half,147,0.035821735858917236,0.14954277873039246,0.11623886227607727,256,3.9577484130859375e-05
6,pair-Add,147,2.2897397400356567e-07,0.0002729342086240649,0.0003938104782719165,512,0.0010526180267333984
7,pair-Seq,147,0.00025078747421503067,0.01170213520526886,0.010690835304558277,512,0.0010225772857666016
8,pair,258,0.1702578216791153,0.3179473280906677,0.26351198554039,128,0.0002493858337402344
9,block-sqrt-half,258,0.24055416882038116,0.3652462363243103,0.3279779851436615,128,0.0002143383026123047
10,block-sqrt,258,0.12451080977916718,0.27150893211364746,0.22581610083580017,128,0.00011014938354492188
11,lowR-same-param,258,0.11062496155500412,0.2652912735939026,0.20100578665733337,128,5.245208740234375e-05
12,lowR-samex2,258,0.031059905886650085,0.1383799910545349,0.10935078561306,128,4.220008850097656e-05
13,lowR-half,258,0.031059905886650085,0.1383799910545349,0.10935078561306,256,3.933906555175781e-05
14,pair-Add,258,3.2282596862387436e-07,0.00035549860331229866,0.00044409133261069655,512,0.001081705093383789
15,pair-Seq,258,0.0008255148422904313,0.02039441280066967,0.02027779445052147,512,0.0010886192321777344
16,pair,369,0.14613929390907288,0.30094173550605774,0.23620179295539856,128,0.000255584716796875
17,block-sqrt-half,369,0.23968857526779175,0.36503511667251587,0.3268873989582062,128,0.0002186298370361328
18,block-sqrt,369,0.10937172174453735,0.2571100890636444,0.20841258764266968,128,0.00011682510375976562
19,lowR-same-param,369,0.0986732542514801,0.25026634335517883,0.19021393358707428,128,5.030632019042969e-05
20,lowR-samex2,369,0.022835735231637955,0.1179293543100357,0.09467532485723495,128,4.172325134277344e-05
21,lowR-half,369,0.022835735231637955,0.1179293543100357,0.09467532485723495,256,4.029273986816406e-05
22,pair-Add,369,1.3587342095888744e-07,0.00022014911519363523,0.0002962271682918072,512,0.001100778579711914
23,pair-Seq,369,0.00023984395375009626,0.010530665516853333,0.011377817019820213,512,0.0010917186737060547
24,pair,321,0.1762133240699768,0.3395417332649231,0.24731290340423584,128,0.0002620220184326172
25,block-sqrt-half,321,0.24711179733276367,0.37287837266921997,0.3293893337249756,128,0.00022292137145996094
26,block-sqrt,321,0.14456093311309814,0.29872995615005493,0.23566561937332153,128,0.00011229515075683594
27,lowR-same-param,321,0.12137014418840408,0.284929484128952,0.20085546374320984,128,5.173683166503906e-05
28,lowR-samex2,321,0.034917332231998444,0.14695630967617035,0.11564347892999649,128,4.1484832763671875e-05
29,lowR-half,321,0.034917332231998444,0.14695630967617035,0.11564347892999649,256,3.9577484130859375e-05
30,pair-Add,321,3.8496530407883256e-08,0.00014250577078200877,0.00013512943405658007,512,0.0010828971862792969
31,pair-Seq,321,0.002914176322519779,0.039009276777505875,0.03738867864012718,512,0.0010673999786376953
32,pair,654,0.17494328320026398,0.33915725350379944,0.2452561855316162,128,0.0002613067626953125
33,block-sqrt-half,654,0.2553837299346924,0.38457000255584717,0.32849833369255066,128,0.0002219676971435547
34,block-sqrt,654,0.12687423825263977,0.28179752826690674,0.21829001605510712,128,0.0001125335693359375
35,lowR-same-param,654,0.11990918219089508,0.26984527707099915,0.2174336314201355,128,5.0067901611328125e-05
36,lowR-samex2,654,0.03145257383584976,0.14217272400856018,0.10622414201498032,128,4.100799560546875e-05
37,lowR-half,654,0.03145257383584976,0.14217272400856018,0.10622414201498032,256,4.1484832763671875e-05
38,pair-Add,654,6.641013960972941e-09,5.97467296756804e-05,5.55282567802351e-05,512,0.001112222671508789
39,pair-Seq,654,7.077296322677284e-05,0.00577965285629034,0.006124958861619234,512,0.0010213851928710938
40,pair,987,0.15628328919410706,0.3147521913051605,0.23966370522975922,128,0.0002560615539550781
41,block-sqrt-half,987,0.24469169974327087,0.3668205142021179,0.332515150308609,128,0.00022339820861816406
42,block-sqrt,987,0.12311729788780212,0.2798599600791931,0.21206451952457428,128,0.00011205673217773438
43,lowR-same-param,987,0.11628808081150055,0.27630138397216797,0.20025554299354553,128,5.173683166503906e-05
44,lowR-samex2,987,0.03161643072962761,0.13819248974323273,0.11210869997739792,128,4.2438507080078125e-05
45,lowR-half,987,0.03161643072962761,0.13819248974323273,0.11210869997739792,256,3.910064697265625e-05
46,pair-Add,987,2.1975702679810638e-07,0.0002995363320223987,0.00036131005617789924,512,0.0011091232299804688
