,method,seed,mse,mean,std,params,time
0,pair,147,0.33000168204307556,0.4966559410095215,0.28867730498313904,98304,0.013298511505126953
1,block-sqrt-half,147,0.32864904403686523,0.49446845054626465,0.2900862395763397,393216,0.0001723766326904297
2,block-sqrt,147,0.3280937075614929,0.4921397864818573,0.2930736541748047,524288,0.00458836555480957
3,lowR-same-param,147,0.3138284981250763,0.48047858476638794,0.28804314136505127,524288,7.009506225585938e-05
4,lowR-samex2,147,0.2959110736846924,0.462559312582016,0.28626900911331177,524288,7.033348083496094e-05
5,lowR-half,147,0.035408686846494675,0.15021799504756927,0.11332802474498749,16777216,7.05718994140625e-05
6,pair,258,0.3300289511680603,0.4966963827610016,0.28865498304367065,98304,0.013289928436279297
7,block-sqrt-half,258,0.3286901116371155,0.4945247769355774,0.29006093740463257,393216,0.0001747608184814453
8,block-sqrt,258,0.3281323313713074,0.4921901822090149,0.2930549085140228,524288,0.004568338394165039
9,lowR-same-param,258,0.3138734698295593,0.4805455803871155,0.2880094349384308,524288,6.961822509765625e-05
10,lowR-samex2,258,0.29597270488739014,0.46263980865478516,0.28624656796455383,524288,8.487701416015625e-05
11,lowR-half,258,0.035462409257888794,0.1503293514251709,0.11341734230518341,16777216,6.914138793945312e-05
12,pair,369,0.3299413025379181,0.4966028332710266,0.2886640727519989,98304,0.013284921646118164
13,block-sqrt-half,369,0.3285781443119049,0.49440979957580566,0.2900639474391937,393216,0.00016427040100097656
14,block-sqrt,369,0.32802456617355347,0.4920831322669983,0.2930508553981781,524288,0.004588603973388672
15,lowR-same-param,369,0.3137809932231903,0.480457603931427,0.2879956364631653,524288,6.961822509765625e-05
16,lowR-samex2,369,0.2958715558052063,0.4625358581542969,0.2862379252910614,524288,6.914138793945312e-05
17,lowR-half,369,0.03539811819791794,0.15019184350967407,0.11331606656312943,16777216,6.818771362304688e-05
18,pair,321,0.3300367593765259,0.4967195689678192,0.2886285185813904,98304,0.013319015502929688
19,block-sqrt-half,321,0.3286778926849365,0.4945276379585266,0.29003503918647766,393216,0.00016999244689941406
20,block-sqrt,321,0.3281184434890747,0.49219271540641785,0.29302698373794556,524288,0.004598379135131836
21,lowR-same-param,321,0.3138638138771057,0.4805339276790619,0.2880120873451233,524288,7.033348083496094e-05
22,lowR-samex2,321,0.29595884680747986,0.462614506483078,0.2862633168697357,524288,7.152557373046875e-05
23,lowR-half,321,0.03544725477695465,0.15030065178871155,0.11338857561349869,16777216,7.009506225585938e-05
24,pair,654,0.33004575967788696,0.49670928716659546,0.2886618375778198,98304,0.013298511505126953
25,block-sqrt-half,654,0.32868659496307373,0.49452269077301025,0.2900584936141968,393216,0.00017023086547851562
